Abberton,798
Abbotsley,385
Abridge,1664
Acle,2245
Acton,1680
Alburgh,430
Alconbury Airfield,428
Alconbury,2380
Alconbury Weston,778
Aldbury,616
Aldeburgh,2290
Aldeburgh Road, nr Leiston,265
Alderton (Suffolk Coastal),475
Aldreth,296
Alpington,687
Alresford,2361
Althorne,1177
Ampthill,22577
Ardleigh,1044
Arkesden,374
Arlesey,6157
Ashbocking,353
Ashdon,575
Ashill,1213
Ashley (East Cambridgeshire),723
Ashwell,1901
Ashwellthorpe,479
Assington,462
Attleborough,11761
Aveley,9612
Aylmerton,271
Aylsham,7512
Babraham,300
Bacton,1413
Badersfield,2014
Badingham,225
Badwell Ash,802
Bainton,311
Balsham,1559
Banham,1136
Bar Hill,4045
Bardwell,729
Barford (South Norfolk),532
Barking,570
Barkway,811
Barley,696
Barnack,872
Barnby,904
Barningham,956
Barnston (Uttlesford),921
Barrington (South Cambridgeshire),1081
Barrow (St. Edmundsbury),1869
Barroway Drove,395
Barton (South Cambridgeshire),850
Barton-le-Clay,4972
Basildon - BasildonSD,118145
Basildon - Crays HillSD,333
Basildon - DownhamSD,359
Basildon - North BenfleetSD,1838
Basildon - Ramsden HeathSD,1991
Basildon - WickfordSD,34843
Bassingbourn,2408
Bassingbourn Barracks,335
Battisford Tye,505
Bawdeswell,819
Bayford,529
Beachamwell,349
Beccles,14208
Bedfield Long Green,343
Bedford - BedfordSD,93767
Bedford - KempstonSD,21015
Beeston,573
Beetley,949
Belchamp St Paul,354
Belton (Great Yarmouth),4247
Benington,722
Bentley (Babergh),529
Benwick,1160
Berkhamsted - BerkhamstedSD,21717
Berkhamsted - Potten EndSD,1369
Beyton,707
Bicknacre - BicknacreSD,2246
Bicknacre - Woodham FerrersSD,627
Biggleswade,22148
Bildeston,1127
Billericay - BillericaySD,34856
Billericay - Havering's GroveSD,385
Billericay - Little BursteadSD,200
Billericay - StockSD,1591
Birch Green,882
Birchanger - BirchangerSD,630
Bishop's Stortford,41695
Black Notley,1942
Blackborough End,265
Blackmore,839
Blackmore End,806
Blakeney (North Norfolk),764
Blofield Heath,1488
Blundeston,985
Blunham,1210
Bluntisham,2757
Boreham,3330
Bottisham,2351
Boughton,215
Bourn,713
Bourne End,306
Bovingdon - BovingdonSD,5202
Boxford,1141
Boxted - BoxtedSD,350
Boxted - Boxted CrossSD,702
Bradenham,425
Bradfield Heath,817
Bradwell (Braintree),527
Braintree - BraintreeSD,43557
Braintree - Great NotleySD,7821
Braintree - High GarrettSD,801
Braintree - RayneSD,2196
Braintree - Tye Green (Braintree)SD,1175
Bramfield,463
Brampton (Huntingdonshire),6077
Brancaster,395
Brancaster Staithe,378
Brandeston,299
Brandon (Forest Heath),9059
Brantham,2327
Braughing,880
Breachwood Green,687
Brentwood,55502
Brightlingsea,8722
Brinkley,352
Briston - BristonSD,2018
Briston - Melton ConstableSD,1263
Brock Hill,399
Brogborough,364
Bromeswell,447
Bromham (Bedford),4582
Bromley Cross,474
Brooke,1220
Brookmans Park,3661
Brookville,320
Broom,625
Brundall - BlofieldSD,2419
Brundall - BrundallSD,4454
Buckden,2637
Bucklesham,554
Bulphan,1016
Bumble's Green,461
Bungay,5106
Buntingford,6844
Bunwell,606
Bures,1505
Burgh St Peter,284
Burnham Market,789
Burnham Overy Staithe,126
Burnham-on-Crouch - Burnham-on-CrouchSD,7368
Burnham-on-Crouch - StoneyhillsSD,701
Burstall,230
Burston,559
Burwell,6420
Bury St Edmunds - Bury St EdmundsSD,41310
Bury St Edmunds - Fornham All SaintsSD,1165
Bury St Edmunds - Fornham St MartinSD,969
Butt's Green,255
Buxton (Broadland),1303
Caddington,3196
Caister-on-Sea,8774
Caldecote - CaldecoteSD,1980
Cambourne,10544
Cambridge - CambridgeSD,149155
Cambridge - Fen DittonSD,750
Cambridge - GirtonSD,2264
Cambridge - HistonSD,8444
Cambridge - Little ShelfordSD,857
Cambridge - TevershamSD,942
Canewdon,1198
Cantley,543
Canvey Island,38874
Capel St Mary,2853
Carbrooke,532
Cardington,298
Carlton (Bedford),877
Castle Acre,897
Castle Camps,660
Castle Hedingham,1095
Castle Rising,205
Caston,474
Castor,1350
Catfield,745
Catworth,351
Cavendish,865
Cawston,1112
Caxton,551
Chalton,580
Champneys College,518
Chandler's Cross,352
Chappel,434
Charsfield,345
Chatteris,10926
Chedburgh,661
Chelmondiston,965
Chelmsford - ChelmsfordSD,119468
Chelmsford - Little WalthamSD,1030
Cheveley,936
Chevington,312
Chicksands,1568
Chippenham (East Cambridgeshire),530
Chipperfield (Dacorum),1347
Chipperfield (Three Rivers),305
Chipping Ongar,6420
Chrishall,340
Christchurch,835
Clacton-on-Sea,53661
Clapham (Bedford),4555
Clare,2166
Clavering,940
Claydon - ClaydonSD,3153
Claydon - Great BlakenhamSD,2255
Clenchwarton,1672
Cley next the Sea,354
Clint Green,393
Clophill,2406
Coalhill,260
Coates (Fenland),2265
Coddenham,675
Coggeshall,4837
Colchester - ColchesterSD,140027
Colchester - Marks TeySD,2502
Cold Norton,1152
Colkirk,602
Colne Engaine,1042
Coltishall,2280
Comberton,2256
Combs,514
Coney Weston,365
Coopersale,1052
Cople,751
Corpusty,544
Coton,919
Cottenham,5831
Cottered,430
Cotton End,2330
Coveney,448
Cranfield,7079
Cransford,156
Cromer - CromerSD,8021
Cromer - East RuntonSD,837
Crowfield,366
Croxton,298
Cuffley,4373
Culford,784
Danbury,6767
Dane End,582
Datchworth,1252
Debden,357
Debenham,2289
Dedham - DedhamSD,796
Dedham - Dedham HeathSD,314
Dennington,273
Dereham,21365
Dersingham,4550
Dickleburgh,1116
Diss - DissSD,11142
Diss - PalgraveSD,955
Ditchingham,2128
Docking,778
Doddinghurst,4420
Doddinghurst Common,160
Downham Market,11932
Drinkstone Green,600
Dry Drayton,644
Dullingham/Stetchworth - DullinghamSD,778
Dullingham/Stetchworth - StetchworthSD,666
Dunton,755
Duxford Airfield,709
Duxford,2215
Earith,1581
Earl Soham,445
Earls Colne,3841
Earsham,905
East Bergholt,2387
East Hanningfield,917
East Harling,2345
East Rudham,583
East Tilbury - East TilburySD,5550
East Tilbury - LinfordSD,851
East Winch,830
Easton (South Norfolk),1607
Easton (Suffolk Coastal),375
Eaton Bray,4152
Eccles on Sea,317
Elder Street,888
Ellingham,697
Ellington (Huntingdonshire),594
Elmdon,300
Elmsett,628
Elmstead Market,1713
Elmswell,4376
Elsenham - ElsenhamSD,3292
Elsworth,630
Eltisley,342
Elton,660
Ely,20333
Epping,11218
Erpingham,395
Essendon,565
Everton - EvertonSD,519
Eye (City of Peterborough) - Eye (City of Peterborough)SD,3911
Eye (City of Peterborough) - Eye GreenSD,656
Eye (Mid Suffolk) - Eye (Mid Suffolk)SD,2352
Eye (Mid Suffolk) - YaxleySD,613
Eyke,387
Fairfield Park,4140
Fakenham,8727
Felixstowe - FelixstoweSD,24441
Felixstowe - Trimley St MarySD,5966
Felmersham,354
Felsham,499
Felsted/Bannister Green - Bannister GreenSD,1144
Felsted/Bannister Green - Causeway EndSD,319
Felsted/Bannister Green - FelstedSD,1330
Felthorpe,628
Feltwell,2512
Fen Drayton,864
Fenstanton,2726
Filby,813
Fincham,490
Finchingfield,753
Finningham,515
Flamstead,1080
